SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1970,4704.31756122819
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1970,228.510557839595
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1970,396.011695498235
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1970,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1970,6244.08333837844
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1971,5108.40338585586
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1971,238.014714589444
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1971,393.531274229317
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1971,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1971,6340.19236214306
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1972,5587.88625565948
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1972,241.085356629667
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1972,382.450894969608
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1972,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1972,6274.51225128906
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1973,6219.51401630693
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1973,253.928679992954
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1973,385.966286026325
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1973,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1973,6388.08405707467
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1974,6623.41550847593
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1974,254.482258900259
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1974,381.539586124733
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1974,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1974,6601.92653077065
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1975,6805.29828755336
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1975,271.828890684662
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1975,406.892535091036
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1975,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1975,6542.61014606082
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1976,7296.34748425015
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1976,263.452967311753
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1976,404.235132093153
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1976,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1976,6523.66025566335
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1977,7453.59017220592
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1977,279.560486143076
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1977,423.740189326556
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1977,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1977,6359.01708136496
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1978,7514.28926301439
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1978,307.08736374722
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1978,437.819179065514
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1978,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1978,6391.87437025336
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1979,7835.0703131317
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1979,326.047625691632
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1979,405.472642585261
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1979,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1979,6470.0516748739
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,1980,8349.48782019185
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,1980,347.120087871446
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,India,IND,1980,422.903839165045
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,1980,0.0
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,South Africa,ZAF,1980,6722.19527743223
