SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1970,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1970,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1970,2976155907945.43
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1970,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1970,425223953211.829
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1971,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1971,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1971,3091548433358.67
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1971,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1971,445990292780.56
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1972,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1972,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1972,3186956615488.78
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1972,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1972,462177557472.799
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1973,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1973,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1973,3292149191807.32
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1973,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1973,489601005897.787
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1974,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1974,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1974,3416103038287.08
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1974,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1974,521580528823.166
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1975,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1975,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1975,3624445171028.39
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1975,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1975,549729989119.814
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1976,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1976,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1976,3791240451751.7
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1976,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1976,566005255251.042
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1977,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1977,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1977,3967558925869.07
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1977,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1977,562927204919.127
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1978,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,China,CHN,1978,832289515015.944
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,India,IND,1978,4217357483566.6
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Russian Federation,RUS,1978,0.0
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,South Africa,ZAF,1978,574135388194.015
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,Brazil,BRA,1979,0.0
