SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1970,8517039104.80663
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1970,33430994796.4904
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1970,7096242768.89734
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1970,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1970,5395597843.9191
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1971,9542339226.62282
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1971,36716927808.9203
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1971,6766479665.55444
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1971,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1971,5591310704.12601
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1972,11465403268.8072
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1972,40606663467.1061
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1972,7427059369.27277
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1972,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1972,6186865956.61644
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1973,17452635524.1765
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1973,50633817739.0168
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1973,10335426688.8885
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1973,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1973,9713828983.90233
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1974,20520528512.4419
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1974,52008582367.938
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1974,9715185336.51513
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1974,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1974,12998232395.7883
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1975,28294641801.6054
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1975,62117317781.4819
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1975,12582599078.0017
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1975,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1975,11494132332.1131
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1976,31633826849.558
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1976,52610987957.1443
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1976,15624040573.8876
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1976,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1976,10751349990.651
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1977,37707286183.0907
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1977,64305787216.062
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1977,17681218042.8613
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1977,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1977,12208399989.384
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1978,43743279996.2239
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1978,58743258467.4797
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1978,19238065093.9558
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1978,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1978,14471599987.416
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1979,46597450771.9751
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1979,66150858300.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1979,21890736969.869
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1979,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1979,18767904761.3273
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1980,49574605377.0232
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1980,67495989500.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1980,23294356156.7922
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Russian Federation,RUS,1980,0.0
Gross domestic savings (current US$),NY.GDS.TOTL.CD,South Africa,ZAF,1980,30030799746.5578
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Brazil,BRA,1981,59841600663.5763
Gross domestic savings (current US$),NY.GDS.TOTL.CD,China,CHN,1981,65779071686.5079
Gross domestic savings (current US$),NY.GDS.TOTL.CD,India,IND,1981,27536411040.2267
