SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1970.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1970.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1970.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1970.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1970.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1971.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1971.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1971.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1971.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1971.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1972.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1972.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1972.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1972.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1972.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1973.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1973.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1973.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1973.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1973.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1974.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1974.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1974.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1974.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1974.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1975.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1975.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1975.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1975.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1975.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1976.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1976.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1976.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1976.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1976.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1977.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1977.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1977.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1977.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1977.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1978.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1978.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1978.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1978.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1978.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1979.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1979.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1979.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1979.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1979.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1980.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1980.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1980.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1980.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1980.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1981.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1981.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1981.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1981.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1981.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1982.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1982.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1982.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1982.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1982.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1983.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1983.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1983.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1983.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1983.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1984.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1984.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1984.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1984.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1984.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1985.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1985.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;India;IND;1985.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Russian Federation;RUS;1985.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;South Africa;ZAF;1985.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;Brazil;BRA;1986.0;
Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;China;CHN;1986.0;
